Idme,gender,age,UCLA3itemscale,Q9_Loneliness_Meaning_Qual,cleaned_text
4241,2,21,4.0,"Abandoned,fearful,isolated. Guilty. Embarassed. Angry.resentful.",fearful guilty embarrassed angry resentful
26123,2,28,6.0,Abandoned. unhappy. unloved. ,
41000,1,28,4.0,Abandonment when circumstances change ... say during times of illness  ,abandonment circumstance time
31073,1,16,9.0,Nor being able to make a connection with someone. Being separated and in a state of indifference to thise around you. Having your feelings snd emotions ignored. Kniwing thete is more out there.,indifference feeling emotion
20560,1,21,6.0,Absence of anyone who satisfies the majority of these but especially trustworthiness and confidentialiy.,satisfies majority trustworthiness confidentially
40550,2,27,6.0,Absence of close friendship.,
28660,2,17,8.0,Absence of closeness with another person.,
38333,2,22,8.0,It is absence of community. It is absence of roots. The UK is a difficult society in which to move from acquaintances to friends perhaps because people seem to have a few close friends and then drinking buddies. So loneliness means not having strong ties with a group of people going back many years.,root move acquaintance friend friend drinking body mean strong tie year
43633,2,19,7.0,Absence of a confidant. Someone to do nothing with. Someone to go out with. ,confidant
14066,2,27,8.0,Absence of interaction.,
47231,1,28,9.0,the absence of life affirming people,affirming
13553,1,16,3.0,"Absence or loss of connection. Not having someone to tell exciting or upsetting news to. The  absence of someone to show curiosity or concern about the events of my life. Having no one to call upon for taking part in a social event. Having no one to offer advice. Feeling excluded from those in close proximity.  Being rejected by people whom you feel aligned with. Spending time alone when you desire to feel connected. Having no one to be intimate with, either physically or emotionally.  The absence of another person who understands your circumstances or struggle.",exciting upsetting news show curiosity concern event upon offer proximity rejected signed circumstance
2578,1,28,8.0,absence of others.,
16649,2,22,7.0,the absence of other people and feeling its a problem. Not having anyone to confide in or to confide in you.,
33922,2,24,8.0,"The absence of a person to confide in. The absence of on or more people to share activvities, thoughts and experiences with",activity thought experience
25354,1,25,6.0,Absence of a person who listens and hears what I'm expressing.  No one remembers my birthday!,listens hears expressing remembers birthday
10868,2,26,9.0,absence of purpose,
42566,2,27,8.0,Absence of real human contact ,
40330,2,16,7.0,The absence of self satisfaction. Feeling disconnected with everything around you.,satisfaction
40801,2,18,6.0,"The absence of a sense of belonging, like being in free fall.  A very hollow sense, lacking in connection to others.  Wondering what to do and how to fill my time in a way that make sense.",free fall hollow wondering fill
34443,2,25,7.0,"Absence of a social, emotional, professional connection to people around you.",professional
39177,2,20,9.0,an absence of someone interested in how i am feeling/thinking,
15125,2,20,9.0,The absence of someone with whom to share a significant life experience. A lack of emotional support at a difficult time.,significant
16169,2,25,9.0,The absence of someone to talk to at a time when there is something I would like to tell or discuss. Not having someone to go to an event or for a walk with,discus walk
13859,1,25,9.0,"It's an absence of something - a kind of grief. Missing something. It can become huge and feel quite desolate, or just be a little pang that tells you you need to seek connection. A need for connection and to feel validated, as if you matter. Humans are evolved to thrive in situations of connection and exchange and mutual support - when this is absence our safety and existence are threatened. Over time if allowed to grow it can become quite suffocating, paralysing. ",grief huge desolate pang tell seek validated human evolved thrive situation exchange mutual safety existence threatened allowed grow suffocating paralyzing
7165,2,27,8.0,An absence of something. Not having someone to talk to when you want/need to.,
19923,2,28,6.0,too absorbed in minor troubles.Bored.Unreasonably sad.,absorbed minor trouble unreasonably
4915,2,18,6.0,"I can accept not fitting in, or not feeling safe to speak freely, or feeling non- or mis-understood for temporary lengths of time.  It is when I allow myself to recognize I may never fit in, or never feel safe again to speak freely--with work mates or family members---that is when I feel lonely.",accept fitting safe freely non temporary length allow recognize safe freely mate member
44360,2,25,9.0,"According to me, loneliness is a state of mind. Of course you can find a real reason in a bad situation or in the social background of a person, but the key is the mind. Whatever difficulty you have to face, if you feel alone you'll never face it. No matter how many people are around you, loneliness is something that starts from the inside and always from the inside it eats you and it makes you blind. So you will be unable to see the truth of the reality in which you live. ",according course background key whatever difficulty start eats make blind truth reality
31069,2,23,9.0,ache.alone.unstimulated.,ache stimulated
